Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1436.937494,18413.90913,19960.26205,500.995427,5846479574,5846479574,0.91586,,,
NeuRoute,11,16,6,10000,0.36,0.5,1,10000,22,96,1440.016399,17825.90636,19372.82265,516.187041,5846479574,5846479574,0.91586,,,
NeuRoute,32,16,6,8000,0.3,0.7,1,10000,22,96,1511.621638,14689.94945,16253.65442,615.246254,4766710577,4766710577,0.91575,,,
NeuRoute,58,16,7,7000,0.3,0.6,1,10000,22,96,1544.055043,13689.39811,15284.34887,654.264051,4358343046,4358343046,0.91568,,,
NeuRoute,131,17,6,7000,0.3,0.7,1,10000,22,96,1621.721922,13507.04398,15178.93795,658.807621,4339005516,4339005516,0.91555,,,
NeuRoute,69,16,7,8000,0.36,0.5,1,10000,22,96,1608.284933,15963.68641,17634.19153,567.080151,5086552586,5086552586,0.91523,,,
NeuRoute,31,16,6,8000,0.3,0.6,1,10000,22,96,1400.095041,14803.45521,16255.93995,615.159753,4771153360,4771153360,0.91496,,,
NeuRoute,130,17,6,7000,0.3,0.6,1,10000,22,96,1487.956246,13421.0667,14958.63682,668.510114,4342912989,4342912989,0.91458,,,
NeuRoute,65,16,7,8000,0.25,0.7,1,10000,22,96,1327.594768,14276.72666,15653.22978,638.845794,4637919226,4637919226,0.91427,,,
NeuRoute,64,16,7,8000,0.25,0.6,1,10000,22,96,1253.685944,14457.4471,15760.14286,634.512015,4639816165,4639816165,0.91356,,,
NeuRoute,141,17,6,8000,0.36,0.5,1,10000,22,96,1536.510519,15733.02097,17330.08866,577.031093,5040858609,5040858609,0.91352,,,
NeuRoute,137,17,6,8000,0.25,0.7,1,10000,22,96,1296.909125,14426.98592,15772.62714,634.009789,4640649240,4640649240,0.91335,,,
NeuRoute,66,16,7,8000,0.3,0.5,1,10000,22,96,1340.486161,15276.35166,16671.43536,599.828376,4864957814,4864957814,0.91295,,,
NeuRoute,136,17,6,8000,0.25,0.6,1,10000,22,96,1223.407915,14382.63293,15655.34654,638.759415,4642575225,4642575225,0.91266,,,
NeuRoute,26,16,6,7000,0.36,0.7,1,10000,22,96,1678.913709,13824.63654,15557.06323,642.794842,4404831810,4404831810,0.91252,,,
NeuRoute,25,16,6,7000,0.36,0.6,1,10000,22,96,1541.262872,13746.8631,15341.19945,651.839514,4410070385,4410070385,0.91165,,,
NeuRoute,138,17,6,8000,0.3,0.5,1,10000,22,96,1297.518691,15157.79148,16508.99448,605.73041,4851225459,4851225459,0.9114,,,
NeuRoute,53,16,7,6000,0.36,0.7,1,10000,22,96,1904.798979,12809.84702,14769.9136,677.052031,4047232771,4047232771,0.91125,,,
NeuRoute,9,16,6,10000,0.36,0.6,1,10000,22,96,1306.572148,16799.14344,18165.3921,550.497338,5450727694,5450727694,0.91123,,,
NeuRoute,9,16,6,10000,0.36,0.6,1,10000,22,96,1307.20536,17029.69682,18398.65537,543.51798,5450727694,5450727694,0.91123,,,
NeuRoute,23,16,6,7000,0.3,0.7,1,10000,22,96,1458.87851,13375.41915,14882.68293,671.92186,4280330543,4280330543,0.91109,,,
NeuRoute,52,16,7,6000,0.36,0.6,1,10000,22,96,1746.966809,12792.11238,14593.89955,685.217818,4051962158,4051962158,0.91035,,,
NeuRoute,22,16,6,7000,0.3,0.6,1,10000,22,96,1349.473002,13357.03059,14754.73412,677.748573,4284063190,4284063190,0.91016,,,
NeuRoute,125,17,6,6000,0.36,0.7,1,10000,22,96,1818.879766,12571.88999,14443.47292,692.35426,3998874318,3998874318,0.91,,,
NeuRoute,60,16,7,7000,0.36,0.5,1,10000,22,96,1548.020651,14368.67544,15975.92116,625.941997,4585309530,4585309530,0.90992,,,
NeuRoute,56,16,7,7000,0.25,0.7,1,10000,22,96,1290.1983,12975.60735,14311.03031,698.761709,4169253891,4169253891,0.90989,,,
NeuRoute,50,16,7,6000,0.3,0.7,1,10000,22,96,1598.072468,12012.0211,13656.86987,732.23221,3842770180,3842770180,0.90975,,,
NeuRoute,33,16,6,8000,0.36,0.5,1,10000,22,96,1357.361597,15615.72497,17029.71585,587.208858,4919615982,4919615982,0.90916,,,
NeuRoute,128,17,6,7000,0.25,0.7,1,10000,22,96,1262.336866,12933.73518,14241.95617,702.150736,4169481027,4169481027,0.90906,,,
NeuRoute,124,17,6,6000,0.36,0.6,1,10000,22,96,1666.245615,12554.2809,14273.40249,700.603798,4003518761,4003518761,0.90905,,,
NeuRoute,122,17,6,6000,0.3,0.7,1,10000,22,96,1548.499616,11948.82044,13543.445,738.364574,3825659882,3825659882,0.90898,,,
NeuRoute,55,16,7,7000,0.25,0.6,1,10000,22,96,1216.488221,12908.2194,14170.44024,705.694377,4171070879,4171070879,0.90891,,,
NeuRoute,49,16,7,6000,0.3,0.6,1,10000,22,96,1474.689464,11998.99315,13520.76247,739.60326,3846495435,3846495435,0.90881,,,
NeuRoute,29,16,6,8000,0.25,0.7,1,10000,22,96,1207.784562,14326.60678,15583.28421,641.713253,4602721779,4602721779,0.90878,,,
NeuRoute,132,17,6,7000,0.36,0.5,1,10000,22,96,1473.540275,14232.63435,15762.71646,634.408417,4538094195,4538094195,0.90822,,,
NeuRoute,28,16,6,8000,0.25,0.6,1,10000,22,96,1141.947529,14249.12899,15440.13893,647.662566,4604630163,4604630163,0.90814,,,
NeuRoute,127,17,6,7000,0.25,0.6,1,10000,22,96,1188.25265,12995.07757,14228.78866,702.800515,4171481263,4171481263,0.90804,,,
NeuRoute,121,17,6,6000,0.3,0.6,1,10000,22,96,1430.675191,11953.24906,13430.54059,744.571668,3829222524,3829222524,0.90776,,,
NeuRoute,57,16,7,7000,0.3,0.5,1,10000,22,96,1297.763657,13680.07427,15028.68917,665.394026,4371056559,4371056559,0.90766,,,
NeuRoute,30,16,6,8000,0.3,0.5,1,10000,22,96,1179.951489,14834.62538,16067.49172,622.374679,4785817534,4785817534,0.90724,,,
NeuRoute,129,17,6,7000,0.3,0.5,1,10000,22,96,1250.554568,13529.38904,14830.01132,674.308319,4356095802,4356095802,0.90613,,,
NeuRoute,17,16,6,6000,0.36,0.7,1,10000,22,96,1596.736225,12276.51091,13922.20515,718.277018,3891178724,3891178724,0.90606,,,
NeuRoute,63,16,7,8000,0.25,0.5,1,10000,22,96,1074.96449,14411.16259,15535.6311,643.681608,4649926200,4649926200,0.90587,,,
NeuRoute,16,16,6,6000,0.36,0.6,1,10000,22,96,1473.261829,12257.82209,13779.67138,725.706711,3895600920,3895600920,0.90516,,,
NeuRoute,135,17,6,8000,0.25,0.5,1,10000,22,96,1046.214617,14416.88139,15513.0006,644.620616,4652603740,4652603740,0.90506,,,
NeuRoute,14,16,6,6000,0.3,0.7,1,10000,22,96,1398.320722,11667.1936,13110.67397,762.737295,3772352742,3772352742,0.90494,,,
NeuRoute,20,16,6,7000,0.25,0.7,1,10000,22,96,1173.376965,12851.10795,14070.35131,710.714308,4138080476,4138080476,0.90491,,,
