Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,7,16,6,1000,0.36,0.5,1,10000,22,128,433.311996,1236.054471,1691.249592,5912.787827,813239853,813239853,0.78421,1183.46,949.79,2133.25
NeuRoute,0,16,7,500,0.36,0.7,1,10000,22,128,663.409002,1776.62272,2464.031549,4058.389595,576295318,576295318,0.71479,1183.46,949.79,2133.25
NeuRoute,0,16,7,500,0.36,0.7,1,10000,22,128,661.969254,1818.275122,2503.849219,3993.850718,576295318,576295318,0.71479,1183.46,949.79,2133.25
NeuRoute,0,16,7,500,0.36,0.7,1,10000,22,128,658.770394,1771.82773,2452.624158,4077.265555,576295318,576295318,0.71479,1183.46,949.79,2133.25
NeuRoute,0,16,7,500,0.36,0.7,1,10000,22,128,316.868507,909.367779,1249.659938,8002.176989,576295318,576295318,0.71479,1183.46,949.79,2133.25
NeuRoute,4,16,6,500,0.36,0.7,1,10000,22,128,619.164542,1689.223249,2328.910837,4293.852663,504851512,504851512,0.71393,1183.46,949.79,2133.25
NeuRoute,4,16,6,500,0.36,0.7,1,10000,22,128,621.304427,1659.566747,2300.942181,4346.045756,504851512,504851512,0.71393,1183.46,949.79,2133.25
NeuRoute,4,16,6,500,0.36,0.7,1,10000,22,128,613.974579,1649.009903,2283.100194,4380.009264,504851512,504851512,0.71393,1183.46,949.79,2133.25
NeuRoute,4,16,6,500,0.36,0.7,1,10000,22,128,285.73184,753.501891,1058.710339,9445.454183,504851512,504851512,0.71393,1183.46,949.79,2133.25
NeuRoute,1,16,7,500,0.36,0.5,1,10000,22,128,590.502817,1311.314025,1924.341655,5196.582412,576811520,576811520,0.69,1183.46,949.79,2133.25
NeuRoute,1,16,7,500,0.36,0.5,1,10000,22,128,590.574665,1244.49927,1857.570813,5383.374852,576811520,576811520,0.69,1183.46,949.79,2133.25
NeuRoute,1,16,7,500,0.36,0.5,1,10000,22,128,589.120207,1299.785196,1910.601295,5233.954371,576811520,576811520,0.69,1183.46,949.79,2133.25
NeuRoute,1,16,7,500,0.36,0.5,1,10000,22,128,291.15024,903.523328,1216.481421,8220.429698,576811520,576811520,0.69,1183.46,949.79,2133.25
NeuRoute,5,16,6,500,0.36,0.5,1,10000,22,128,553.008442,1089.815874,1662.623402,6014.59115,505367758,505367758,0.68909,1183.46,949.79,2133.25
NeuRoute,5,16,6,500,0.36,0.5,1,10000,22,128,554.373233,1105.46251,1679.771055,5953.192234,505367758,505367758,0.68909,1183.46,949.79,2133.25
NeuRoute,5,16,6,500,0.36,0.5,1,10000,22,128,557.027982,1080.395191,1657.215556,6034.218037,505367758,505367758,0.68909,1183.46,949.79,2133.25
NeuRoute,5,16,6,500,0.36,0.5,1,10000,22,128,259.803849,783.86871,1062.708298,9409.919936,505367758,505367758,0.68909,1183.46,949.79,2133.25
