Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50
NeuRoute,51,15,6,3000,0.29,0.5,1,10000,20,128,169.149437,1181.537128,1372.545082,7285.735187,995794879,995794879,0.86915
NeuRoute,51,15,6,3000,0.29,0.5,1,10000,20,128,169.149437,1181.537128,1372.545082,7285.735187,995794879,995794879,0.86915
NeuRoute,155,15,5,2000,0.41,0.5,1,10000,20,128,175.017332,1116.401903,1313.578598,7612.791511,935878980,935878980,0.86802
NeuRoute,155,15,5,2000,0.41,0.5,1,10000,20,128,175.017332,1116.401903,1313.578598,7612.791511,935878980,935878980,0.86802
NeuRoute,94,14,6,1000,0.41,0.7,1,10000,20,128,229.434199,881.607302,1132.395651,8830.835752,704772173,704772173,0.86767
NeuRoute,94,14,6,1000,0.41,0.7,1,10000,20,128,229.434199,881.607302,1132.395651,8830.835752,704772173,704772173,0.86767
NeuRoute,156,15,5,3000,0.24,0.7,1,10000,20,128,144.508156,1185.326684,1349.948636,7407.689251,1021040952,1021040952,0.86467
NeuRoute,156,15,5,3000,0.24,0.7,1,10000,20,128,144.508156,1185.326684,1349.948636,7407.689251,1021040952,1021040952,0.86467
NeuRoute,38,15,6,1000,0.29,0.7,1,10000,20,128,193.364626,756.430351,968.022146,10330.34217,617422581,617422581,0.86435
NeuRoute,38,15,6,1000,0.29,0.7,1,10000,20,128,193.364626,756.430351,968.022146,10330.34217,617422581,617422581,0.86435
NeuRoute,45,15,6,2000,0.29,0.5,1,10000,20,128,167.563524,1001.05093,1188.958023,8410.725868,845039757,845039757,0.86301
NeuRoute,45,15,6,2000,0.29,0.5,1,10000,20,128,167.563524,1001.05093,1188.958023,8410.725868,845039757,845039757,0.86301
NeuRoute,105,14,6,3000,0.29,0.5,1,10000,20,128,150.988994,1128.029279,1299.848066,7693.206815,958461127,958461127,0.86155
