Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,dataset
NeuRoute,81,15,7,4000,0.25,0.5,1,10000,20,96,307.37936,5994.617994,6337.083307,1578.013025,1931134061,1931134061,0.90862,deep1b100M
NeuRoute,82,15,7,4000,0.25,0.6,1,10000,20,96,340.616637,6049.18755,6425.164416,1556.380406,1927008579,1927008579,0.91288,deep1b100M
NeuRoute,83,15,7,4000,0.25,0.7,1,10000,20,96,355.892655,6024.33976,6415.129454,1558.814997,1925822951,1925822951,0.91339,deep1b100M
NeuRoute,84,15,7,4000,0.3,0.5,1,10000,20,96,392.486004,6684.434168,7118.314079,1404.827026,2118612996,2118612996,0.92143,deep1b100M
NeuRoute,85,15,7,4000,0.3,0.6,1,10000,20,96,447.851567,6626.93837,7115.597591,1405.36334,2110879452,2110879452,0.92642,deep1b100M
NeuRoute,86,15,7,4000,0.3,0.7,1,10000,20,96,477.54014,6691.011598,7209.007431,1387.153515,2107754964,2107754964,0.92737,deep1b100M
NeuRoute,87,15,7,4000,0.39,0.5,1,10000,20,96,519.353305,7618.443491,8215.403897,1217.225608,2398386080,2398386080,0.92723,deep1b100M
NeuRoute,88,15,7,4000,0.39,0.6,1,10000,20,96,594.261039,7613.133576,8260.565641,1210.570854,2388737006,2388737006,0.93191,deep1b100M
NeuRoute,89,15,7,4000,0.39,0.7,1,10000,20,96,638.421559,7576.140214,8266.268486,1209.735689,2383873798,2383873798,0.93309,deep1b100M
NeuRoute,90,15,7,4500,0.25,0.5,1,10000,20,96,314.644022,6510.869256,6861.285211,1457.452896,2082954464,2082954464,0.91194,deep1b100M
NeuRoute,91,15,7,4500,0.25,0.6,1,10000,20,96,345.752485,6456.296645,6837.307948,1462.563932,2079411628,2079411628,0.91548,deep1b100M
NeuRoute,92,15,7,4500,0.25,0.7,1,10000,20,96,361.665713,6458.348123,6856.08957,1458.557374,2078208934,2078208934,0.91588,deep1b100M
NeuRoute,93,15,7,4500,0.3,0.5,1,10000,20,96,405.839677,7110.609971,7559.226656,1322.886646,2292153553,2292153553,0.92522,deep1b100M
NeuRoute,94,15,7,4500,0.3,0.6,1,10000,20,96,459.240445,7252.57232,7754.493793,1289.574828,2284238340,2284238340,0.93015,deep1b100M
NeuRoute,95,15,7,4500,0.3,0.7,1,10000,20,96,490.409753,7140.548144,7672.856082,1303.295656,2280992172,2280992172,0.93072,deep1b100M
NeuRoute,96,15,7,4500,0.39,0.5,1,10000,20,96,540.090654,8173.54189,8767.121008,1140.625297,2584255875,2584255875,0.93143,deep1b100M
NeuRoute,97,15,7,4500,0.39,0.6,1,10000,20,96,613.581093,8313.575823,8979.910358,1113.596862,2573653941,2573653941,0.93594,deep1b100M
NeuRoute,98,15,7,4500,0.39,0.7,1,10000,20,96,662.3604,8195.631503,8910.587026,1122.260517,2568388043,2568388043,0.93678,deep1b100M
NeuRoute,99,15,7,5000,0.25,0.5,1,10000,20,96,320.515794,6910.020504,7267.807622,1375.930751,2222518239,2222518239,0.91438,deep1b100M
NeuRoute,100,15,7,5000,0.25,0.6,1,10000,20,96,349.551841,6865.980652,7253.237441,1378.694698,2219120817,2219120817,0.9172,deep1b100M
NeuRoute,101,15,7,5000,0.25,0.7,1,10000,20,96,362.441771,6933.214794,7333.065089,1363.686246,2218082403,2218082403,0.91755,deep1b100M
NeuRoute,102,15,7,5000,0.3,0.5,1,10000,20,96,417.388166,7722.508981,8183.446227,1221.979069,2454305911,2454305911,0.92855,deep1b100M
NeuRoute,103,15,7,5000,0.3,0.6,1,10000,20,96,469.831744,7608.865038,8122.148659,1231.201302,2446379324,2446379324,0.93252,deep1b100M
NeuRoute,104,15,7,5000,0.3,0.7,1,10000,20,96,499.196658,7723.731761,8265.624585,1209.829928,2443130273,2443130273,0.93314,deep1b100M
NeuRoute,105,15,7,5000,0.39,0.5,1,10000,20,96,556.799608,8761.514935,9373.418974,1066.846583,2760340574,2760340574,0.93499,deep1b100M
NeuRoute,106,15,7,5000,0.39,0.6,1,10000,20,96,632.979585,8750.967068,9439.654439,1059.360813,2749134011,2749134011,0.93916,deep1b100M
NeuRoute,107,15,7,5000,0.39,0.7,1,10000,20,96,681.958877,8745.993805,9483.651311,1054.446191,2743335630,2743335630,0.93989,deep1b100M
NeuRoute,0,15,5,10,0.25,0.5,1,10000,20,96,22.783187,332.048343,370.452307,26994.02814,92770105,92770105,0.20101,deep1b100M
NeuRoute,1,15,5,10,0.25,0.6,1,10000,20,96,21.732371,326.099375,362.245232,27605.60835,92771234,92771234,0.20177,deep1b100M
NeuRoute,2,15,5,10,0.25,0.7,1,10000,20,96,21.84351,330.105068,365.238902,27379.33978,92771898,92771898,0.20206,deep1b100M
NeuRoute,3,15,5,10,0.3,0.5,1,10000,20,96,26.359683,491.554626,535.425651,18676.72941,139788947,139788947,0.20425,deep1b100M
NeuRoute,4,15,5,10,0.3,0.6,1,10000,20,96,26.05505,490.20078,533.630666,18739.55272,139790523,139790523,0.20485,deep1b100M
NeuRoute,5,15,5,10,0.3,0.7,1,10000,20,96,25.952176,489.507276,533.04798,18760.03732,139790828,139790828,0.20511,deep1b100M
NeuRoute,6,15,5,10,0.39,0.5,1,10000,20,96,31.837535,716.200845,768.298321,13015.7775,204371573,204371573,0.2074,deep1b100M
NeuRoute,7,15,5,10,0.39,0.6,1,10000,20,96,31.61128,717.815551,769.688135,12992.27511,204372781,204372781,0.20808,deep1b100M
NeuRoute,8,15,5,10,0.39,0.7,1,10000,20,96,31.445037,713.480178,765.418875,13064.74184,204374008,204374008,0.20838,deep1b100M
NeuRoute,9,15,5,50,0.25,0.5,1,10000,20,96,27.696097,402.664366,445.133424,22465.1744,116544134,116544134,0.35808,deep1b100M
NeuRoute,10,15,5,50,0.25,0.6,1,10000,20,96,27.925307,402.808187,444.766464,22483.70956,116539642,116539642,0.36088,deep1b100M
NeuRoute,11,15,5,50,0.25,0.7,1,10000,20,96,27.803288,397.209046,438.889643,22784.77098,116541122,116541122,0.36202,deep1b100M
NeuRoute,12,15,5,50,0.3,0.5,1,10000,20,96,32.549484,568.47708,618.223344,16175.38402,163542736,163542736,0.36401,deep1b100M
NeuRoute,13,15,5,50,0.3,0.6,1,10000,20,96,32.605078,559.405268,609.299161,16412.29898,163547026,163547026,0.3672,deep1b100M
NeuRoute,14,15,5,50,0.3,0.7,1,10000,20,96,32.790777,562.543751,612.411644,16328.88613,163550358,163550358,0.36844,deep1b100M
NeuRoute,15,15,5,50,0.39,0.5,1,10000,20,96,38.79584,796.759245,856.314617,11677.95084,228118118,228118118,0.37545,deep1b100M
NeuRoute,16,15,5,50,0.39,0.6,1,10000,20,96,38.918562,791.379558,850.612484,11756.2347,228118150,228118150,0.37821,deep1b100M
NeuRoute,17,15,5,50,0.39,0.7,1,10000,20,96,38.770183,804.298905,863.715516,11577.88625,228123095,228123095,0.37936,deep1b100M
NeuRoute,18,15,5,100,0.25,0.5,1,10000,20,96,33.751324,485.922564,534.747566,18700.41237,145994453,145994453,0.44929,deep1b100M
NeuRoute,19,15,5,100,0.25,0.6,1,10000,20,96,34.097746,493.354581,541.655849,18461.90717,145985363,145985363,0.45491,deep1b100M
NeuRoute,20,15,5,100,0.25,0.7,1,10000,20,96,34.076245,487.641628,535.525129,18673.26006,145977422,145977422,0.45707,deep1b100M
NeuRoute,21,15,5,100,0.3,0.5,1,10000,20,96,39.094543,650.542685,706.877781,14146.71711,192957014,192957014,0.45986,deep1b100M
