Method,label,run_id,host,timestamp,method,dataset,dtype,n_vectors,R,L_build,B,M,T,cache_nodes,beamwidth,L,QPS,mean_latency_us,p999_latency_us,mean_ios,mean_io_us,cpu_s,recall10,build_elapsed,build_rss_kb,search_elapsed,search_rss_kb,base_bytes,query_bytes,gt_bytes,index_total_bytes,index_disk_bytes,index_pq_bytes,index_pivots_bytes,work_dir,index_prefix,work_fs_used_bytes,work_fs_avail_bytes,build_log,search_log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,30,5151.55,4565.12,18830,32.75,2053.33,2384.4,99.37,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,40,4324.8,5462.95,9943,42.24,2551.09,2764.96,99.41,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,50,3587.79,6596.99,10645,51.8,3167.59,3256.42,99.46,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,60,3085.86,7680.3,12783,61.41,3717.66,3762.6,99.47,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,70,2679.15,8857.48,13155,71.03,4379.74,4252.32,99.49,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,80,2392.58,9926.96,14950,80.7,4918.86,4754.48,99.5,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
diskann,img15365,img1536_float_20260126_085617_51767,node,20260126_015423,DiskANN,img1536,float,NA,90,100,50,200,24,200000,4,100,1948.92,12202.45,17939,100.06,6139.66,5763.58,99.52,1:53:20,105387812,00:46.7,6135100,57696165896,61440008,400008,82354511744,76928225280,4808013832,1585180,diskann_run_img15365_img1536_float_20260126_085617_51767,img1536_R90_Lb100_B50_M200_float,3.6326E+11,1.23139E+12,build.log,search.log
