Method,dataset,efSearch,threads,QPS,mean_latency_us,p99_9_latency_us,recallK,build_time_s,search_time_s
HNSW,img1536,20,24,8534.2,117.18,189.45,0.9751,6461.42,1.171756
HNSW,img1536,40,24,5394.07,185.39,235.58,0.9869,6461.42,1.853888
HNSW,img1536,80,24,3443,290.44,332.56,0.9934,6461.42,2.904441
HNSW,img1536,120,24,2799.57,357.2,385.31,0.9963,6461.42,3.571973
HNSW,img1536,160,24,2957.24,338.15,378.6,0.9976,6461.42,3.381536
HNSW,img1536,200,24,2405.36,415.74,450.64,0.9986,6461.42,4.157381
HNSW,img1536,320,24,1673.03,597.72,653.24,0.9994,6461.42,5.977164
